Plant_ID,Growth Day,Average Temprature,Average Humidity, Average Ph_Value,TDS(PPM)
1,44,30.62888889,63.95555556,6.382222222,615.3111111
2,45,30.62888889,64.6,6.446666667,596.8888889
5,45,30.62888889,65.06666667,6.404444444,577.1333333
6,45,30.62888889,64.42222222,6.433333333,614.1333333
8,45,30.62888889,66.26666667,6.4,598.2222222
10,45,30.62888889,65.82222222,6.406666667,612.9777778
12,45,30.62888889,65.48888889,6.382222222,580.7333333
13,45,30.62888889,64.37777778,6.44,577.5111111
14,45,30.62888889,64.35555556,6.355555556,584.5777778
15,45,30.62888889,63.62222222,6.397777778,590.4666667
17,45,30.62888889,64.68888889,6.395555556,621.0222222
18,45,30.62888889,65.71111111,6.364444444,572.4444444
19,45,30.62888889,66.77777778,6.393333333,567
20,45,30.62888889,64.88888889,6.397777778,603.6222222
21,45,30.62888889,65.68888889,6.375555556,591.0666667
22,45,30.62888889,64.11111111,6.413333333,612.2888889
24,45,30.44222222,66.28888889,6.313333333,599.2444444
25,45,30.62888889,67.4,6.38,581.1111111
26,45,30.62888889,63,6.384444444,574.4888889
27,45,30.62888889,64.48888889,6.488888889,609.8444444
28,45,30.62888889,64.84444444,6.4,579.0222222
29,45,30.62888889,65.77777778,6.428888889,584.0888889
30,45,30.62888889,65.84444444,6.4,595.0888889
31,45,30.62888889,65.51111111,6.446666667,568.4222222
32,45,30.62888889,66.2,6.382222222,618.0444444
33,45,30.62888889,68.02222222,6.413333333,568.7555556
34,45,30.62888889,62.73333333,6.368888889,618.3555556
35,45,30.62888889,65.95555556,6.377777778,607.0222222
36,45,30.62888889,65.66666667,6.375555556,616.2222222
37,45,30.62888889,66.33333333,6.411111111,599.0444444
38,45,30.62888889,66.6,6.422222222,596.7111111
39,45,30.62888889,63.75555556,6.402222222,595.0444444
40,45,30.62888889,65.71111111,6.431111111,582.4
41,45,30.62888889,63.68888889,6.433333333,577.6444444
42,45,30.62888889,63.06666667,6.415555556,595.0222222
43,45,30.62888889,63.26666667,6.395555556,616.1111111
44,45,30.62888889,63.46666667,6.402222222,622.6
45,45,30.62888889,63.82222222,6.391111111,593.2444444
46,45,30.62888889,65.8,6.417777778,572.3555556
47,45,30.62888889,66.26666667,6.351111111,610.7555556
49,45,30.62888889,63.11111111,6.42,613.8444444
50,45,30.62888889,64.91111111,6.355555556,612.3555556
51,45,30.62888889,63.26666667,6.406666667,618.1111111
52,45,21.16,65.17777778,6.402222222,627.2
53,45,21.77111111,64.24444444,6.406666667,579.4888889
54,45,21.13555556,62.62222222,6.417777778,598.4444444
56,45,21.78888889,62.91111111,6.388888889,602.4666667
58,45,21.42666667,63.17777778,6.415555556,580.9111111
59,45,21.90222222,66.57777778,6.331111111,595.7555556
60,45,21.32888889,67.46666667,6.388888889,607.3333333
61,45,21.03555556,63.86666667,6.397777778,609.4
62,45,21.40666667,64.11111111,6.393333333,587.8222222
63,45,21.09333333,66.68888889,6.384444444,609.2
64,45,21.57111111,67.02222222,6.373333333,597.0444444
65,45,22.05333333,63.06666667,6.422222222,603.9333333
66,45,21.33333333,64.91111111,6.348888889,584.9777778
67,45,21.31111111,63.68888889,6.413333333,618.9555556
68,45,21.6,65.13333333,6.411111111,602.3111111
69,45,21.37555556,62.91111111,6.397777778,601.5333333
9,46,30.64347826,66.86956522,6.358695652,607.7391304
16,46,30.63478261,64.91304348,6.423913043,599.2826087
23,46,30.66956522,64.80434783,6.410869565,616.7608696
57,46,21.06956522,63.2173913,6.4,628.1956522
70,46,21.77391304,65.04347826,6.419565217,587.7608696
3,47,30.60638298,68.68085106,6.408510638,620.4042553
7,47,30.59361702,64.12765957,6.423404255,608.1276596
11,47,30.67234043,64.40425532,6.39787234,580.5957447
48,47,30.62340426,64.10638298,6.382978723,587.5106383
4,48,30.64583333,63.35416667,6.433333333,598.2083333
55,48,21.81875,63.5,6.385416667,581.2708333